cpf,nome,arg_class,ano_entrada
111.757.432-57,Vitor Leonardo,41.88,2018
111.304.739-63,Alana Viviane,435.30,2018
111.249.650-26,Eloah Vitoria,516.60,2018
111.827.525-84,Helena Enzo,0.00,2018
111.256.963-77,Marcelo Matheus,548.60,2018
111.197.646-05,Manuela Diego,46.13,2018
111.268.982-19,Larissa Bruna,0.00,2018
111.139.323-70,Caio Sophie,495.40,2018
111.761.863-58,Julia Bruna,471.20,2018
111.543.419-80,Lorena Thales,613.60,2018
111.326.600-22,Helena Alice,505.70,2018
111.272.256-36,Mariana Roberto,527.20,2018
111.946.086-52,Marcelo Alice,35.92,2018
111.448.902-10,Alana Wagner,54.00,2018
111.846.646-97,Bianca Lara,656.44,2018
111.481.611-80,Raul Lais,542.10,2018
111.487.069-31,Carolina Guilherme,517.60,2018
111.408.405-53,Daniel Caua,48.30,2018
111.033.173-81,Lara Paula,542.40,2018
111.905.287-37,Mateus Caua,529.30,2018
111.808.994-16,Larissa Melissa,581.80,2018
111.334.489-05,Gabriel Sophie,0.00,2018
111.157.846-50,Clara Luana,480.80,2018
111.959.386-04,Caio Vinicius,0.00,2018
111.347.791-03,Nicolas Joao,36.98,2018
111.938.322-66,Luan Lara,526.20,2018
111.182.762-87,Miguel Marcos,57.77,2018
111.466.302-70,Maria Cecilia,648.96,2018
111.135.527-20,Leandro Juliana,488.80,2018
111.575.768-60,Lorena Beatriz,0.00,2018
111.299.969-26,Fernando Eduardo,497.00,2018
111.569.081-13,Caroline Lorena,519.10,2018
111.746.411-30,Mateus Valeria,504.90,2018
111.935.377-23,Bruno Eloah,489.10,2018
111.951.431-56,Diego Guilherme,534.60,2018
111.558.659-22,Vinicius Caio,52.81,2018
111.637.032-01,Manuela Joao,556.70,2018
111.366.129-67,Vinicius Luiz,40.00,2018
111.691.438-51,Daniel Hugo,0.00,2018
111.049.408-23,Evelyn Rafael,39.75,2018
111.786.807-30,Sophia Lucas,46.11,2018
111.389.065-58,Eduarda Daniel,536.90,2018
111.678.129-12,Leandro Maria,54.19,2018
111.887.394-41,Nicolas Elisa,16.00,2018
111.507.975-48,Melissa Diego,437.90,2018
111.512.604-22,Alex Alana,641.84,2018
111.076.776-21,Diego Enzo,657.54,2018
111.029.752-80,Isabela Guilherme,63.90,2018
111.115.635-30,Jose Marcelo,412.60,2018
111.308.289-96,Bianca Raul,499.20,2018
111.266.854-20,Luana Hugo,519.60,2018
111.948.369-29,Bianca Eduardo,0.00,2018
111.738.447-90,Miguel Lorena,0.00,2018
111.900.924-29,Rafael Hugo,632.12,2018
111.826.360-90,Diego Melissa,503.00,2018
111.130.036-88,Yuri Eloah,42.22,2018
111.240.527-45,Leticia Vinicius,535.50,2018
111.190.216-27,Clara Eloah,616.66,2018
111.985.350-17,Felipe Vitor,31.37,2018
111.652.867-20,Joao Julia,684.22,2018
111.295.903-08,Elisa Maria,0.00,2018
111.431.929-37,Jose Isabela,530.30,2018
111.589.822-69,Fernanda Leticia,34.29,2018
111.783.449-44,Alex Catarina,55.27,2018
111.801.200-83,Jose Amanda,651.20,2018
111.437.483-00,Carolina Ricardo,41.44,2018
111.261.106-48,Luana Bruna,51.57,2018
111.234.732-80,Nathanael Alex,531.40,2018
111.294.628-31,Bianca Otavio,46.90,2018
111.337.687-17,Valentina Clara,43.18,2018
111.213.027-84,Vitoria Isabela,498.10,2018
111.461.091-29,Amanda Renan,0.00,2018
111.620.325-63,Fernando Alex,699.52,2018
111.636.675-91,Gabriel Caio,503.20,2018
111.651.907-02,Valeria Lorena,657.20,2018
111.945.158-15,Miguel Paula,740.74,2018
111.497.225-33,Leticia Leticia,607.94,2018
111.336.190-67,Mauricio Ricardo,566.00,2018
111.502.480-49,Nathanael Livia,510.80,2018
111.398.887-00,Natalia Leandro,495.60,2018
111.143.490-27,Alice Caio,473.60,2018
111.464.741-49,Mauricio Luan,497.70,2018
111.024.013-40,Catarina Luana,547.20,2018
111.172.032-73,Isabela Ricardo,560.80,2018
111.601.611-56,Amanda Luca,516.90,2018
111.321.465-87,Eloah Livia,519.00,2018
111.511.564-09,Jose Vanessa,621.98,2018
111.741.727-85,Cecilia Melissa,538.20,2018
111.387.152-13,Isabela Michele,55.33,2018
111.253.456-37,Bruna Isabela,576.50,2018
111.355.663-40,Sophie Diego,581.60,2018
111.548.439-83,Lais Leticia,35.38,2018
111.580.034-04,Mateus Lucas,514.60,2018
111.622.419-63,Joao Camila,0.00,2018
111.354.538-75,Daniel Leonardo,553.40,2018
111.748.953-08,Manuela Clara,619.52,2018
111.413.811-54,Julia Lorena,37.85,2018
111.218.114-95,Lorena Laura,49.88,2018
111.256.301-37,Bruno Renan,471.30,2018
111.573.904-10,Leticia Diego,525.30,2018
111.267.256-46,Sophie Isabela,613.80,2018
111.017.509-28,Manuela Marcelo,44.50,2018
111.637.300-32,Evelyn Luiz,534.40,2018
111.156.757-15,Sofia Julia,566.90,2018
111.284.732-23,Valentina Carolina,41.44,2018
